timestamp_s,is_beat,is_downbeat,bpm,metronome_bpm,acf_confidence,peak_energy,spectral_flux,dominant_hz_latest,peak_db_latest,snapshot_png,low_mean,low_delta,low_var,high_mean,high_delta,high_var,high_occ
1771105469.9848378,1,0,0.0,0.0,0.0,0.42766547203063965,1.8450706005096436,5718.75,-32.860360778062926,beat_00001.png,45.221736907958984,0.0,0.0,13.071521759033203,0.0,0.0,1.0
1771105470.2835524,1,0,100.49867442116548,0.0,0.0,0.36966580152511597,0.560063898563385,328.125,-15.618443896229708,beat_00002.png,122.66056060791016,115.38327026367188,1165.74609375,46.38507080078125,55.16239547729492,203.12832641601562,1.0
1771105472.503918,1,0,102.77604452628339,0.0,0.0,0.4401402771472931,2.202893018722534,234.375,-40.82859256866151,beat_00003.png,34.85502624511719,44.534828186035156,125.02799224853516,41.473609924316406,128.82147216796875,1624.062255859375,1.0
1771105472.82406,1,0,101.02278513346644,0.0,0.0,0.2534758150577545,0.8729712963104248,609.375,-42.36681854626066,beat_00004.png,63.06717300415039,104.60246276855469,1182.201416015625,49.35859298706055,120.55647277832031,1205.701416015625,1.0
1771105473.038459,1,0,105.29076144234274,0.0,0.0,0.6397672891616821,0.9952771663665771,281.25,-17.80330848545235,beat_00005.png,68.64392852783203,98.21928405761719,893.8956909179688,42.64525604248047,109.14472198486328,651.1743774414062,1.0
1771105473.2100008,1,0,113.11700741266763,0.0,0.0,0.7129508852958679,0.8968281745910645,281.25,-14.81484104427932,beat_00006.png,78.8203125,126.39603424072266,1443.14892578125,40.1523323059082,86.35464477539062,482.98828125,1.0
1771105473.4254243,1,0,118.97525346843304,0.0,0.0,0.690535843372345,0.3491201102733612,281.25,-16.24280497731657,beat_00007.png,120.72019958496094,82.31678771972656,744.4856567382812,36.02054977416992,65.8978271484375,276.8783264160156,1.0
1771105473.984178,1,0,120.68520611390245,0.0,0.0,0.5783488154411316,0.3506450057029724,281.25,-16.70048767531909,beat_00008.png,143.02198791503906,60.70240783691406,369.00836181640625,50.852901458740234,50.393306732177734,183.07632446289062,1.0
1771105475.054104,1,0,88.0121201908968,88.0121201908968,0.35048599701909633,0.4724312424659729,1.8038791418075562,187.5,-26.002570810986242,beat_00009.png,47.079593658447266,33.563873291015625,51.13045120239258,52.494510650634766,105.630126953125,1238.7940673828125,1.0
1771105475.7260249,1,0,88.0615079744412,88.0615079744412,0.277098555233448,0.3435323238372803,0.04958916828036308,328.125,-14.74155906223743,beat_00010.png,146.23428344726562,100.77640533447266,876.61767578125,30.790884017944336,46.523475646972656,225.77236938476562,1.0
1771105476.3963842,1,0,88.30715344815931,88.30715344815931,0.22915741560031544,0.0757468193769455,0.003742365865036845,234.375,-26.550644693302115,beat_00011.png,58.29061508178711,16.557968139648438,14.414628982543945,50.717018127441406,77.39344024658203,523.7694702148438,1.0
