timestamp_s,sample_rate_hz,dominant_hz,peak_db,beat_detected,downbeat_detected,low_mean,low_delta,low_var,high_mean,high_delta,high_var,high_occ
1771105468.0110953,48000,328.125,-19.34588106404352,0,0,,,,,,,
1771105468.055976,48000,703.125,-31.49732428821277,0,0,,,,,,,
1771105468.1028655,48000,703.125,-31.47182271443306,0,0,,,,,,,
1771105468.1487699,48000,328.125,-36.00349241609422,0,0,,,,,,,
1771105468.1968873,48000,281.25,-18.964945265168694,0,0,,,,,,,
1771105468.2440553,48000,281.25,-18.613114319847014,0,0,,,,,,,
1771105468.2913795,48000,562.5,-18.41889520633557,0,0,,,,,,,
1771105468.337228,48000,562.5,-18.37351909376755,0,0,,,,,,,
1771105468.3831384,48000,562.5,-17.951904743721027,0,0,,,,,,,
1771105468.4349968,48000,562.5,-16.2952546997085,0,0,,,,,,,
1771105468.4771488,48000,562.5,-17.693006960939318,0,0,,,,,,,
1771105468.5351193,48000,281.25,-18.580077939513778,0,0,,,,,,,
1771105468.5770388,48000,281.25,-18.2929226769785,0,0,,,,,,,
1771105468.6269057,48000,281.25,-19.225974995691683,0,0,,,,,,,
1771105468.7116792,48000,281.25,-16.70904060380077,0,0,,,,,,,
1771105468.7585526,48000,281.25,-17.084830063409157,0,0,,,,,,,
1771105468.8094451,48000,281.25,-17.510699390681758,0,0,,,,,,,
1771105468.856292,48000,281.25,-17.049212140649004,0,0,,,,,,,
1771105468.902198,48000,281.25,-17.018158820837353,0,0,,,,,,,
1771105468.9480767,48000,281.25,-16.293192582340108,0,0,,,,,,,
1771105468.9939244,48000,281.25,-16.458189355993436,0,0,,,,,,,
1771105469.0398285,48000,609.375,-13.397138622786864,0,0,,,,,,,
1771105469.0867136,48000,656.25,-16.532012081647988,0,0,,,,,,,
1771105469.133551,48000,656.25,-17.881291761814783,0,0,,,,,,,
1771105469.193419,48000,984.375,-15.465414901029948,0,0,,,,,,,
1771105469.239302,48000,656.25,-16.13577482830806,0,0,,,,,,,
1771105469.2851737,48000,656.25,-17.380604418439304,0,0,,,,,,,
1771105469.3689213,48000,375.0,-17.32546585228432,0,0,,,,,,,
1771105469.4167936,48000,375.0,-17.142115166137394,0,0,,,,,,,
1771105469.462247,48000,375.0,-16.245311295147193,0,0,,,,,,,
1771105469.5111074,48000,375.0,-16.91328656184604,0,0,,,,,,,
